_id,name,property_type,room_type,minimum_nights,bedrooms,number_of_reviews,price,host_id,host_name,country,longitude,latitude,availability_365
10006546,Ribeira Charming Duplex,House,Entire home/apt,2,3.0,51,80.00,51399391,Ana&Gonçalo,Portugal,-8.61308,41.1413,239
10009999,Horto flat with small garden,Apartment,Entire home/apt,2,1.0,0,317.00,1282196,Ynaie,Brazil,-43.23074991429229,-22.966253551739655,0
1001265,Ocean View Waikiki Marina w/prkg,Condominium,Entire home/apt,3,1.0,96,115.00,5448114,David,United States,-157.83919,21.28634,343
10021707,Private Room in Bushwick,Apartment,Private room,14,1.0,1,40.00,11275734,Josh,United States,-73.93615,40.69791,0
10030955,Apt Linda Vista Lagoa - Rio,Apartment,Private room,1,1.0,0,701.00,51496939,Livia,Brazil,-43.205047082633435,-22.971950988341874,363
1003530,New York City - Upper West Side Apt,Apartment,Private room,12,1.0,70,135.00,454250,Greta,United States,-73.96523,40.79962,93
10038496,Copacabana Apartment Posto 6,Apartment,Entire home/apt,3,1.0,70,119.00,51530266,Ana Valéria,Brazil,-43.190849194463404,-22.984339360067814,118
10047964,Charming Flat in Downtown Moda,House,Entire home/apt,2,2.0,1,527.00,1241644,Zeynep,Turkey,29.03133,40.98585,362
10051164,Catete's Colonial Big Hause Room B,House,Private room,2,1.0,1,250.00,51326285,Beatriz,Brazil,-43.18015675229857,-22.92638234778768,296
10057447,Modern Spacious 1 Bedroom Loft,Apartment,Entire home/apt,1,1.0,0,50.00,51612949,Konstantin,Canada,-73.59111,45.51889,0
10057826,Deluxe Loft Suite,Apartment,Entire home/apt,3,0.0,5,205.00,47554473,Mae,United States,-73.94472,40.72778,243
10059244,Ligne verte - à 15 min de métro du centre ville.,Apartment,Entire home/apt,2,0.0,0,43.00,7140229,Caro,Canada,-73.54949,45.54548,32
10059872,"Soho Cozy, Spacious and Convenient",Apartment,Entire home/apt,4,1.0,3,699.00,51624384,Giovanni,Hong Kong,114.15027,22.28158,0
10066928,3 chambres au coeur du Plateau,Apartment,Entire home/apt,1,3.0,0,140.00,9036477,Margaux,Canada,-73.57383,45.52233,0
10069642,Ótimo Apto proximo Parque Olimpico,Apartment,Entire home/apt,15,2.0,0,858.00,51670240,Jonathan,Brazil,-43.4311123147628,-23.00035792660916,0
